,State,Year,Quartar,Amount,Insurance_count
0,Andaman & Nicobar Islands,2020,2,1360.0,6
1,Andaman & Nicobar Islands,2020,3,15380.0,41
2,Andaman & Nicobar Islands,2020,4,157975.0,124
3,Andaman & Nicobar Islands,2021,1,244266.0,225
4,Andaman & Nicobar Islands,2021,2,181504.0,137
5,Andaman & Nicobar Islands,2021,3,305235.0,230
6,Andaman & Nicobar Islands,2021,4,1056380.0,757
7,Andaman & Nicobar Islands,2022,1,1131287.0,768
8,Andaman & Nicobar Islands,2022,2,779740.0,501
9,Andaman & Nicobar Islands,2022,3,902466.0,643
10,Andaman & Nicobar Islands,2022,4,1441210.0,901
11,Andaman & Nicobar Islands,2023,1,1439198.0,1004
12,Andaman & Nicobar Islands,2023,2,1233395.0,768
13,Andaman & Nicobar Islands,2023,3,1251145.0,795
14,Andaman & Nicobar Islands,2023,4,1757821.0,1145
15,Andhra Pradesh,2020,2,3982391.0,22104
16,Andhra Pradesh,2020,3,12426481.0,49812
17,Andhra Pradesh,2020,4,12985632.0,21464
18,Andhra Pradesh,2021,1,12749874.0,22105
19,Andhra Pradesh,2021,2,22730687.0,33205
20,Andhra Pradesh,2021,3,19914338.0,23075
21,Andhra Pradesh,2021,4,31610335.0,25423
22,Andhra Pradesh,2022,1,42648157.0,29954
23,Andhra Pradesh,2022,2,41708072.0,32185
24,Andhra Pradesh,2022,3,48791931.0,39301
25,Andhra Pradesh,2022,4,58043239.0,44329
26,Andhra Pradesh,2023,1,51963355.0,34920
27,Andhra Pradesh,2023,2,52067478.0,36376
28,Andhra Pradesh,2023,3,57802396.0,43150
29,Andhra Pradesh,2023,4,62342423.0,41798
30,Arunachal Pradesh,2020,2,14329.0,65
31,Arunachal Pradesh,2020,3,39687.0,135
32,Arunachal Pradesh,2020,4,84247.0,125
33,Arunachal Pradesh,2021,1,131611.0,194
34,Arunachal Pradesh,2021,2,224928.0,204
35,Arunachal Pradesh,2021,3,371051.0,212
36,Arunachal Pradesh,2021,4,598459.0,320
37,Arunachal Pradesh,2022,1,894107.0,355
38,Arunachal Pradesh,2022,2,1360231.0,564
39,Arunachal Pradesh,2022,3,1300304.0,510
40,Arunachal Pradesh,2022,4,1464572.0,613
41,Arunachal Pradesh,2023,1,1747475.0,606
42,Arunachal Pradesh,2023,2,2095988.0,696
43,Arunachal Pradesh,2023,3,1904786.0,718
44,Arunachal Pradesh,2023,4,2105408.0,809
45,Assam,2020,2,210034.0,978
46,Assam,2020,3,599450.0,2206
47,Assam,2020,4,1806801.0,2413
48,Assam,2021,1,2334419.0,3167
49,Assam,2021,2,3008122.0,3265
50,Assam,2021,3,6010865.0,4495
51,Assam,2021,4,13962068.0,8622
52,Assam,2022,1,27447766.0,16230
53,Assam,2022,2,15357811.0,9228
54,Assam,2022,3,22543564.0,14149
55,Assam,2022,4,29239168.0,18826
56,Assam,2023,1,36963888.0,22100
57,Assam,2023,2,28368139.0,16475
58,Assam,2023,3,35618158.0,22593
59,Assam,2023,4,38731734.0,23168
60,Bihar,2020,2,595621.0,2816
61,Bihar,2020,3,2161102.0,9733
62,Bihar,2020,4,7860932.0,9913
63,Bihar,2021,1,8796619.0,12554
64,Bihar,2021,2,13301581.0,14301
65,Bihar,2021,3,18234941.0,18030
66,Bihar,2021,4,27313813.0,22456
67,Bihar,2022,1,27755736.0,20253
68,Bihar,2022,2,28212833.0,21892
69,Bihar,2022,3,34704251.0,28511
70,Bihar,2022,4,43914519.0,33895
71,Bihar,2023,1,38746711.0,26929
72,Bihar,2023,2,40354886.0,29212
73,Bihar,2023,3,45832355.0,36550
74,Bihar,2023,4,57624322.0,41447
75,Chandigarh,2020,2,29537.0,149
76,Chandigarh,2020,3,70969.0,264
77,Chandigarh,2020,4,153341.0,200
78,Chandigarh,2021,1,238576.0,338
79,Chandigarh,2021,2,310943.0,378
80,Chandigarh,2021,3,469634.0,494
81,Chandigarh,2021,4,835813.0,710
82,Chandigarh,2022,1,1150932.0,792
83,Chandigarh,2022,2,1874959.0,1330
84,Chandigarh,2022,3,1998439.0,1533
85,Chandigarh,2022,4,2024528.0,1403
86,Chandigarh,2023,1,2415574.0,1520
87,Chandigarh,2023,2,2501107.0,1704
88,Chandigarh,2023,3,2660630.0,1883
89,Chandigarh,2023,4,3053934.0,1767
90,Chhattisgarh,2020,2,279005.0,1346
91,Chhattisgarh,2020,3,1393656.0,4702
92,Chhattisgarh,2020,4,2249901.0,3757
93,Chhattisgarh,2021,1,2620468.0,4712
94,Chhattisgarh,2021,2,3813417.0,5055
95,Chhattisgarh,2021,3,3568837.0,4676
96,Chhattisgarh,2021,4,8229039.0,6029
97,Chhattisgarh,2022,1,10139190.0,6612
98,Chhattisgarh,2022,2,10119964.0,7008
99,Chhattisgarh,2022,3,12119470.0,8849
100,Chhattisgarh,2022,4,18137856.0,11994
101,Chhattisgarh,2023,1,16577191.0,10460
102,Chhattisgarh,2023,2,16389610.0,10514
103,Chhattisgarh,2023,3,17838382.0,11927
104,Chhattisgarh,2023,4,29704673.0,17300
105,Dadra & Nagar Haveli & Daman & Diu,2020,2,101029.0,651
106,Dadra & Nagar Haveli & Daman & Diu,2020,3,65504.0,257
107,Dadra & Nagar Haveli & Daman & Diu,2020,4,149513.0,232
108,Dadra & Nagar Haveli & Daman & Diu,2021,1,285691.0,467
109,Dadra & Nagar Haveli & Daman & Diu,2021,2,275638.0,368
110,Dadra & Nagar Haveli & Daman & Diu,2021,3,273596.0,360
111,Dadra & Nagar Haveli & Daman & Diu,2021,4,425384.0,421
112,Dadra & Nagar Haveli & Daman & Diu,2022,1,720741.0,493
113,Dadra & Nagar Haveli & Daman & Diu,2022,2,686857.0,438
114,Dadra & Nagar Haveli & Daman & Diu,2022,3,983776.0,707
115,Dadra & Nagar Haveli & Daman & Diu,2022,4,1272628.0,871
116,Dadra & Nagar Haveli & Daman & Diu,2023,1,1215168.0,799
117,Dadra & Nagar Haveli & Daman & Diu,2023,2,1058753.0,694
118,Dadra & Nagar Haveli & Daman & Diu,2023,3,1333103.0,969
119,Dadra & Nagar Haveli & Daman & Diu,2023,4,1973867.0,1207
120,Delhi,2020,2,1897480.0,11716
121,Delhi,2020,3,1927285.0,7588
122,Delhi,2020,4,8045442.0,9725
123,Delhi,2021,1,9655261.0,12822
124,Delhi,2021,2,10840929.0,13292
125,Delhi,2021,3,15007079.0,16679
126,Delhi,2021,4,36578331.0,34251
127,Delhi,2022,1,35442069.0,28232
128,Delhi,2022,2,31787281.0,26378
129,Delhi,2022,3,41570160.0,35944
130,Delhi,2022,4,60603173.0,48908
131,Delhi,2023,1,61040038.0,45821
132,Delhi,2023,2,54951108.0,41358
133,Delhi,2023,3,58878500.0,47113
134,Delhi,2023,4,77332401.0,56336
135,Goa,2020,2,71100.0,341
136,Goa,2020,3,196864.0,683
137,Goa,2020,4,682364.0,614
138,Goa,2021,1,827384.0,879
139,Goa,2021,2,1028339.0,1016
140,Goa,2021,3,1385986.0,1214
141,Goa,2021,4,2737316.0,2087
142,Goa,2022,1,3865245.0,2634
143,Goa,2022,2,5093510.0,3524
144,Goa,2022,3,4142108.0,3157
145,Goa,2022,4,6190669.0,4388
146,Goa,2023,1,5859549.0,4097
147,Goa,2023,2,5930801.0,4166
148,Goa,2023,3,5646054.0,3927
149,Goa,2023,4,7411001.0,4883
150,Gujarat,2020,2,1430591.0,7697
151,Gujarat,2020,3,3335812.0,12525
152,Gujarat,2020,4,6055037.0,9990
153,Gujarat,2021,1,7288104.0,12673
154,Gujarat,2021,2,10263998.0,14676
155,Gujarat,2021,3,12341903.0,15348
