,State,District,Year,Quartar,Trans_Count,Amount
0,Andaman & Nicobar,North And Middle Andaman,2018,1,442,931663.0770939873
1,Andaman & Nicobar,South Andaman,2018,1,5688,12560249.34366581
2,Andaman & Nicobar,Nicobars,2018,1,528,1139848.801225994
3,Andaman & Nicobar,North And Middle Andaman,2018,2,825,1317863.0834906558
4,Andaman & Nicobar,South Andaman,2018,2,9395,23948235.51634325
5,Andaman & Nicobar,Nicobars,2018,2,1120,3072436.9081196385
6,Andaman & Nicobar,North And Middle Andaman,2018,3,1283,4901529.518499676
7,Andaman & Nicobar,South Andaman,2018,3,13511,44268112.46425246
8,Andaman & Nicobar,Nicobars,2018,3,1471,6387829.151558982
9,Andaman & Nicobar,North And Middle Andaman,2018,4,2137,7955635.917688001
10,Andaman & Nicobar,South Andaman,2018,4,20136,75411840.8018554
11,Andaman & Nicobar,Nicobars,2018,4,1485,7180859.354911782
12,Andaman & Nicobar,North And Middle Andaman,2019,1,3264,9561708.736298349
13,Andaman & Nicobar,South Andaman,2019,1,25683,85501972.38780196
14,Andaman & Nicobar,Nicobars,2019,1,1539,7236059.549389593
15,Andaman & Nicobar,North And Middle Andaman,2019,2,3371,8612103.137888122
16,Andaman & Nicobar,South Andaman,2019,2,28490,102530955.71341258
17,Andaman & Nicobar,Nicobars,2019,2,1828,9111650.82436246
18,Andaman & Nicobar,North And Middle Andaman,2019,3,4049,11481466.283356793
19,Andaman & Nicobar,South Andaman,2019,3,27421,91023888.32848613
20,Andaman & Nicobar,Nicobars,2019,3,2300,11566421.475451011
21,Andaman & Nicobar,North And Middle Andaman,2019,4,4716,13524056.784573946
22,Andaman & Nicobar,South Andaman,2019,4,27843,110930312.20611623
23,Andaman & Nicobar,Nicobars,2019,4,2600,12384161.52668771
24,Andaman & Nicobar,North And Middle Andaman,2020,1,5674,14697371.617857102
25,Andaman & Nicobar,South Andaman,2020,1,32713,134679396.90582755
26,Andaman & Nicobar,Nicobars,2020,1,2911,12099543.773590054
27,Andaman & Nicobar,North And Middle Andaman,2020,2,10979,22447714.061058953
28,Andaman & Nicobar,South Andaman,2020,2,48088,132855778.74838585
29,Andaman & Nicobar,Nicobars,2020,2,3895,14341508.60470232
30,Andaman & Nicobar,North And Middle Andaman,2020,3,16747,33486883.370425556
31,Andaman & Nicobar,South Andaman,2020,3,95323,282366109.20523936
32,Andaman & Nicobar,Nicobars,2020,3,5413,22166453.754695386
33,Andaman & Nicobar,North And Middle Andaman,2020,4,29349,68941322.38839513
34,Andaman & Nicobar,South Andaman,2020,4,186494,523122462.88302904
35,Andaman & Nicobar,Nicobars,2020,4,8688,35218871.04342849
36,Andaman & Nicobar,North And Middle Andaman,2021,1,27358,75027255.27919498
37,Andaman & Nicobar,South Andaman,2021,1,207092,669604045.1248703
38,Andaman & Nicobar,Nicobars,2021,1,10302,39075266.9856904
39,Andaman & Nicobar,North And Middle Andaman,2021,2,39200,90233388.79463302
