,State,District,Year,Quartar,Registered_Users,App_Open_Count
0,Andaman & Nicobar,North And Middle Andaman,2018,1,632,0
1,Andaman & Nicobar,South Andaman,2018,1,5846,0
2,Andaman & Nicobar,Nicobars,2018,1,262,0
3,Andaman & Nicobar,North And Middle Andaman,2018,2,911,0
4,Andaman & Nicobar,South Andaman,2018,2,8143,0
5,Andaman & Nicobar,Nicobars,2018,2,351,0
6,Andaman & Nicobar,North And Middle Andaman,2018,3,1208,0
7,Andaman & Nicobar,South Andaman,2018,3,10474,0
8,Andaman & Nicobar,Nicobars,2018,3,467,0
9,Andaman & Nicobar,North And Middle Andaman,2018,4,1553,0
10,Andaman & Nicobar,South Andaman,2018,4,13133,0
11,Andaman & Nicobar,Nicobars,2018,4,536,0
12,Andaman & Nicobar,North And Middle Andaman,2019,1,2013,0
13,Andaman & Nicobar,South Andaman,2019,1,15961,0
14,Andaman & Nicobar,Nicobars,2019,1,622,0
15,Andaman & Nicobar,North And Middle Andaman,2019,2,2417,6118
16,Andaman & Nicobar,South Andaman,2019,2,18621,43569
17,Andaman & Nicobar,Nicobars,2019,2,693,2953
18,Andaman & Nicobar,North And Middle Andaman,2019,3,2662,22064
19,Andaman & Nicobar,South Andaman,2019,3,20518,138190
20,Andaman & Nicobar,Nicobars,2019,3,751,10853
21,Andaman & Nicobar,North And Middle Andaman,2019,4,2955,26253
22,Andaman & Nicobar,South Andaman,2019,4,22202,139646
23,Andaman & Nicobar,Nicobars,2019,4,803,11113
24,Andaman & Nicobar,North And Middle Andaman,2020,1,3315,30444
25,Andaman & Nicobar,South Andaman,2020,1,24174,151529
26,Andaman & Nicobar,Nicobars,2020,1,879,11613
27,Andaman & Nicobar,North And Middle Andaman,2020,2,4100,56992
28,Andaman & Nicobar,South Andaman,2020,2,27626,231071
29,Andaman & Nicobar,Nicobars,2020,2,984,17009
30,Andaman & Nicobar,North And Middle Andaman,2020,3,5355,76553
31,Andaman & Nicobar,South Andaman,2020,3,34833,417785
32,Andaman & Nicobar,Nicobars,2020,3,1147,21227
33,Andaman & Nicobar,North And Middle Andaman,2020,4,7076,125915
34,Andaman & Nicobar,South Andaman,2020,4,43908,725321
35,Andaman & Nicobar,Nicobars,2020,4,1412,35972
36,Andaman & Nicobar,North And Middle Andaman,2021,1,7833,121680
37,Andaman & Nicobar,South Andaman,2021,1,48352,837589
38,Andaman & Nicobar,Nicobars,2021,1,1573,45067
39,Andaman & Nicobar,North And Middle Andaman,2021,2,8493,596182
40,Andaman & Nicobar,South Andaman,2021,2,51903,1270226
41,Andaman & Nicobar,Nicobars,2021,2,1699,381815
42,Andaman & Nicobar,North And Middle Andaman,2021,3,9263,759314
43,Andaman & Nicobar,South Andaman,2021,3,55873,1771107
44,Andaman & Nicobar,Nicobars,2021,3,1846,591204
45,Andaman & Nicobar,North And Middle Andaman,2021,4,10002,171921
46,Andaman & Nicobar,South Andaman,2021,4,59807,1863037
47,Andaman & Nicobar,Nicobars,2021,4,1971,77952
48,Andaman & Nicobar,North And Middle Andaman,2022,1,10720,904869
49,Andaman & Nicobar,South Andaman,2022,1,63487,2368756
50,Andaman & Nicobar,Nicobars,2022,1,2081,573782
51,Andaman & Nicobar,North And Middle Andaman,2022,2,11379,963824
52,Andaman & Nicobar,South Andaman,2022,2,66959,3404740
53,Andaman & Nicobar,Nicobars,2022,2,2192,811449
54,Andaman & Nicobar,North And Middle Andaman,2022,3,11897,1176567
55,Andaman & Nicobar,South Andaman,2022,3,70445,3607286
56,Andaman & Nicobar,Nicobars,2022,3,2300,1284501
57,Andaman & Nicobar,North And Middle Andaman,2022,4,12361,313502
